Identifiant station;Nom de la station;Capacité de la station;Coordonnées géographiques
21112;Claude Debussy - Marc Bloch;28;48.9103881805,2.31177717447
44004;Place de l'Eglise;28;48.7919228199,2.39505775273
11039;Richard Lenoir - Jean-Pierre Timbaud;36;48.8658042767,2.36933707497
17013;Legendre - Dulong;23;48.8853251694,2.31642376631
9021;Saint Georges - d'Aumale;23;48.877786396,2.33742982149
12013;Montgallet - Reuilly;16;48.844291,2.3896481
14117;Gare Montparnasse - René Mouchotte;39;48.8392038433,2.32088394463
42707;Place Jean-Baptiste Clément;25;48.8124046687,2.36170917749
20132;Réunion - Avron;26;48.852566752,2.40392806871
16006;Lauriston - Copernic;19;48.86926,2.289918
10165;Gare de l'Est - Place du 11 Novembre 1918;40;48.876327,2.3585464
51003;Hôtel de Ville d'Argenteuil;30;48.946504,2.2496396
8051;Batignolles - Rome;15;48.8818233706,2.32025898993
19039;Edouard Pailleron - Simon Bolivar;24;48.8797988605,2.37483926117
16032;Eglise d'Auteuil;21;48.8474984177,2.26848387135
17047;Courcelles - Pierre Demours;26;48.8837697333,2.29858466343
21703;Square du Carrefour de l'Insurrection;23;48.8208645598,2.29111343622
35017;Toffier Decaux - Cartier Bresson;15;48.9016507255,2.40175455809
5121;Square René Viviani - Montebello;34;48.8519048914,2.34784215689
32004;Wilson - Landy;40;48.9151672622,2.35763322562
10033;Gare du Nord - Saint-Vincent de Paul;24;48.8809557416,2.35243051484
21114;Gustave Eiffel - Parc des Impressionnistes;30;48.9039061965,2.2946908325
2101;Bachaumont - Montmartre;33;48.8661739508,2.34497755766
13515;Auguste Blanqui - Glacière;60;48.831151603,2.34382219613
10004;Metz - Faubourg Saint-Denis;48;48.870893,2.353521
16115;Raffet - Montmorency;42;48.8525867081,2.26292524562
21219;Amaury Duval - Gabriel Péri;36;48.8171875967,2.32384175062
23003;Président Wilson - Baudin;28;48.898268871,2.28493362665
25001;Colmar - Victor Hugo;32;48.886522511,2.1739609167
47001;Place de la Gare;46;48.8025335801,2.42750376463
9102;Londres - Place d'Estienne d'Orves;25;48.8766938058,2.33053620905
10021;Marché Saint-Quentin;15;48.8773560577,2.35451144564
6022;Marché Saint-Germain;21;48.8516562586,2.33550030738
11011;Richard Lenoir - Voltaire;25;48.8616427388,2.3727491498
20105;Benoît Frachon - République;30;48.8523072901,2.41560548544
16036;Porte Molitor;60;48.8452476351,2.25690152496
12015;Place de la Nation - Picpus;36;48.8468216815,2.40011304617
9037;Parme - Clichy;24;48.8812664242,2.32819709345
8028;Arsène Houssaye - Champs-Elysées;29;48.8734092763,2.29779046029
1014;Rivoli - Musée du Louvre;24;48.8636463685,2.33409583569
1026;Place du Lieutenant Henri Karcher;30;48.8634908717,2.34006710351
12166;Parc Floral du Bel Air;25;48.8392857119,2.43856016546
1008;Les Halles - Saint-Eustache;32;48.863626959,2.34262391925
20140;Paganini - Davout;22;48.85135,2.412021
24004;Paix - Verdun;35;48.900504,2.261173
25002;Hôtel de Ville de Rueil-Malmaison;20;48.878194,2.181724
6020;Place Saint-André des Arts;37;48.8528861739,2.34265442938
21010;Silly - Galliéni;25;48.8355838387,2.23255008459
8009;Gare Saint-Lazare - Isly;27;48.8747776776,2.32651580478
19015;Thionville - Ourcq;24;48.8891761374,2.38336533308
42014;Place Marcel Cachin;32;48.8141144236,2.39090770483
14008;Mouton Duvernet - Général Leclerc;39;48.8316325183,2.32931211591
21209;Molière - République;30;48.8111158139,2.31457386244
21006;Marcelin Berthelot;27;48.8415473059,2.23316162825
44003;Gabriel Péri - Danielle Casanova;20;48.790114,2.4025777
22203;Tertres - Fontaine;28;48.7875536547,2.30623573065
22402;Jean Jaurès - Salvador Allende;43;48.8214755947,2.30265766382
9010;Rochechouart lamartine;24;48.8767198951,2.34439302185
1002;Victoria - Place du Chatelet;22;48.8579925915,2.34691679478
21305;Place Jacques Madaule;25;48.8239337873,2.26069182158
33009;Félix Faure - Sadi Carnot;33;48.9081211023,2.37862318754
8002;Gare Saint-Lazare - Cour du Havre;45;48.8756744009,2.32655983418
41207;Place du Général de Gaulle;28;48.8525288,2.4877332
6018;Michelet - Assas;18;48.8427415028,2.3350211978
19037;Belleville - Porte des Lilas;32;48.8766039189,2.40476969113
17124;Porte de Saint-Ouen - Henri Huchard;26;48.8987083664,2.32953608036
20027;Porte de Ménilmontant;15;48.8691543609,2.40932246879
15108;Lourmel - Marie Skobtsov;22;48.844974,2.287283
26001;Gare d'Asnières sur Seine;24;48.9063645922,2.28350669146
18023;Ordener - Poissonniers;35;48.8912138908,2.35128866622
23007;Président Wilson - Jean Jaures;27;48.8903405405,2.29206830263
9118;Faubourg Poissonniere - Delta;36;48.8825558076,2.34974820167
7113;Berges de Seine - Musée d'Orsay;16;48.8627885937,2.30645935982
41206;Place des Larris;34;48.8568363,2.4780236
13019;Fernand Braudel - Vincent Auriol;36;48.8363785232,2.3723404482
15009;Suffren - Pérignon;46;48.8471756149,2.3070521476
13022;Butte aux Cailles - Esperance;36;48.8275877419,2.34921511263
16031;Vignes - Boulainvilliers;21;48.856399484,2.27524045855
42011;Quai Marcel Boyer - Victor Hugo;29;48.8225563667,2.39203959703
35015;Averroès - Aimé Césaire;19;48.9140532343,2.41263695061
15019;Paul Barruel - Vaugirard;39;48.8401491855,2.30443328619
15131;Charles Lecocq - Lecourbe;30;48.84044,2.294867
41210;Hôtel de ville de Fontenay-sous-Bois;20;48.8494974911,2.47501641512
11109;Pierre Levée - Fontaine Timbaud;23;48.8663272337,2.37111635506
21307;Victor Cresson - Telles de la Poterie;31;48.822698843,2.2686498275
11032;Jean-Pierre Timbaud - Vaucouleurs;47;48.867937,2.377885
13126;Place Nationale - Château-des-Rentiers;18;48.829566,2.365053
51002;Placette Grégoire Collas;25;48.94342014,2.24874760956
51001;Gare d'Argenteuil;40;48.9470224368,2.2568981722
41401;Marne - Charles de Gaulle;27;48.8150717195,2.41216689348
18026;Ruisseau - Ordener;35;48.8929946257,2.34014488757
20001;Place de la Nation - Charonne;36;48.8483646678,2.39976238598
21026;Sèvres - Général Leclerc;30;48.8301215591,2.23142623901
7021;Bosquet - Saint-Dominique;28;48.8586517095,2.30371658023
31709;Place de la Fraternité;22;48.8571640584,2.42284744978
2002;Etienne Marcel - Montorgueil;28;48.8645056726,2.3461959511
22502;Kléber - National;20;48.9063338987,2.23939105868
4005;Quai des Célestins - Henri IV;14;48.8512971,2.3624535
12163;Hippodrome Paris-Vincennes;42;48.8204838776,2.44627118111
14134;Château - Place de Catalogne;33;48.8368055423,2.31852930039
31104;Mairie de Rosny-sous-Bois;30;48.871256519,2.48658075929
22506;Gare des Vallées;20;48.913179,2.257726
42028;Verdun - Carnot;28;48.8084393761,2.37379521132
1015;Place André Malraux;19;48.8639251587,2.33562268317
43007;Hôtel de Ville de Vincennes;27;48.8482760971,2.43989557028
12022;Sahel - Général Michel Bizot;33;48.8408729648,2.40444447845
15027;Duhamel - André Gide;20;48.8365662244,2.3127071211
13008;Place d'Italie - Soeur Rosalie;52;48.8319085204,2.35469434481
11104;Charonne - Robert et Sonia Delauney;20;48.855907556,2.39257067442
9104;Caumartin - Provence;22;48.8744227734,2.32846856117
15028;Grenelle - Dr Finlay;71;48.8513154067,2.29195028543
18134;Ney - Porte de Clignancourt;25;48.8978867,2.3458001
10027;Dunkerque - Alsace;18;48.879355,2.358379
7018;Ségur - d'Estrées;19;48.851419979,2.30970449746
31103;Gare Rosny-Bois-Perrier;36;48.8811502334,2.48043682426
31001;Lagny - Auguste Blanqui;27;48.8492256805,2.42186039686
26002;Redoute - Les Courtilles;32;48.9298671945,2.28366963565
22202;Jean Marin Naudin - Stalingrad;30;48.8057138974,2.32020232826
22406;Guy Môquet - Etienne Dolet;23;48.8152700999,2.298078277
14124;David Weill - Parc Montsouris;22;48.8210923743,2.33372569084
31008;François Debergue - Croix de Chavaux;57;48.8574217081,2.43757814169
15103;Cauchy - Cévennes;51;48.843372571,2.27513283491
17125;Marie-Georges Picquart - Pereire;32;48.8886366935,2.31117065996
31707;Edouard Vaillant - Galliéni;49;48.8584628817,2.41479545832
11042;Grand Prieuré - Crussol;49;48.8646606279,2.36922655318
19125;Place de l'Édit de Nantes;30;48.88879,2.3785
28001;Richard Wallace - Place du 8 Mai 1945;30;48.8786679479,2.24203437567
7015;Varenne;47;48.8572026618,2.31527712196
8055;Courcelles - Place des Ternes;31;48.8781999289,2.29928601887
23701;Parvis Robert Schuman - Roger Salengro;24;48.8126574706,2.19217512757
5002;Sommerard - Saint-Jacques;34;48.8503104329,2.3450158353
18005;Tardieu - Chappe;18;48.8841467598,2.34184540808
13102;Pitié-Salpêtrière;51;48.8374881032,2.36521381885
19009;Cité des Sciences et de l'Industrie;30;48.8965957118,2.38459914923
18033;Belliard - Damrémont;34;48.8966923878,2.33802345039
16043;Place de Passy;15;48.8578029171,2.27750054694
15040;Saint-Amand - Labrouste;36;48.8340972748,2.30876773596
23008;Hôtel de Ville de Levallois Perret;26;48.89314452,2.28888183832
22002;Argenson - Château;25;48.8885593147,2.26420015097
13021;Boussingault - Tolbiac;28;48.8260351661,2.342176808
12150;Bastille - Quai de la Rapée;27;48.8468241086,2.36693646759
4111;Hôtel de Ville - Pont d'Arcole;20;48.8558764518,2.35089216381
10153;Gare du Nord - Denain;20;48.8795957876,2.35447257757
44002;Paul Vaillant-Couturier - Gare RER;26;48.8010815907,2.40209721029
20009;Docteurs Déjérine - Pte de Montreuil;20;48.8539844813,2.41208288897
42305;Vanne - Saussaies;20;48.786404,2.338848
13033;Porte d'Italie;13;48.8171619877,2.36023630947
11038;Temple - Charlot;45;48.8657093438,2.36527372507
18006;Square Louise Michel;36;48.8846873545,2.34413869679
41205;Maréchal Joffre - Verdun;20;48.85385,2.470307
18041;Rochechouart - Martyrs;20;48.8821937796,2.34054956585
32601;Porte des Lilas - Faidherbe;39;48.8786185567,2.41203278303
10151;Gare du Nord - Faubourg Saint-Denis;29;48.8796127655,2.35684029758
92006;Place Nelson Mandela;30;48.8978743182,2.21828207374
20015;Bagnolet - Orteaux;36;48.8570864103,2.39841252565
15006;Cherche-Midi - Hôpital Necker;38;48.8446106331,2.3179140687
13052;Leredde - Tolbiac;44;48.8288762966,2.37443827093
11001;Richard Lenoir - Place de la Bastille;53;48.8538327,2.3697222
20008;Pyrénées - Avron;32;48.8532468982,2.40587104453
20024;Gambetta - Père Lachaise;29;48.8642956962,2.39822866728
21506;Maurice Payret-Dortail;22;48.8781195706,2.22336251289
13017;Nationale - Vincent Auriol;33;48.832527084,2.36235441039
19046;Porte de Pantin;33;48.8891997256,2.39501819015
41208;Alouettes - Maréchal de Lattre de Tassigny;22;48.8551100929,2.49307002872
42704;Mairie du Kremlin-Bicêtre;25;48.8119198154,2.35701899976
13054;Pau Casals - Neuve Tolbiac;53;48.8311602,2.3774395
42018;Amédée Huon - Fort d'Ivry;31;48.8051313769,2.3884896934
22603;Place de la Division Leclerc;35;48.7938249886,2.27311404306
2020;Danielle Casanova - Opéra;20;48.8676432423,2.33338940889
20048;Bagnolet - Place Saint-Blaise;28;48.85973,2.40334
42022;Gare RER - Maurice Grandcoing;37;48.813881,2.392429
42303;Place Eustache Deschamps;20;48.793855,2.336637
41605;Général De Gaulle - Vivien;22;48.8360742009,2.41891667247
6025;Assas - Rennes;32;48.8492084999,2.32851454623
20014;Charonne - Alexandre Dumas;35;48.8560774151,2.39486932755
7010;Constantine - Université;65;48.8606804737,2.31484819558
31701;Mairie de Bagnolet;28;48.8684213186,2.41795878857
12017;Saint-Mandé - Docteur Arnold Netter;39;48.8446258577,2.40494638681
17026;Jouffroy d'Abbans - Wagram;40;48.8819732984,2.30113215744
5016;Thouin - Cardinal Lemoine;17;48.8450471666,2.34946478513
15068;Général Martial Valin - Pont du Garigliano;16;48.8382309427,2.27050602436
20035;Pyrénées - Ménilmontant;26;48.8693268535,2.39508457482
10115;Granges aux Belles;27;48.8761373391,2.36808449794
10029;Dunkerque - Rocroy;24;48.880726,2.351464
10161;Gare de l'Est - Faubourg-Saint-Martin;32;48.8756426475,2.35945880413
16026;Ranelagh - Mozart;23;48.8554439,2.2704418
19043;Delphine Seyrig - Général Leclerc;53;48.8939239631,2.39790290594
8010;Liège - Moscou;17;48.8795431,2.3264628
46002;Rouget de Lisle;35;48.7646154834,2.40711897612
10016;Récollets - Square Villemin;17;48.8750346559,2.3598012386
33102;Gabriel Péri - Francisco Ferrer;18;48.8863371024,2.40733891726
8054;Bertie Albrecht - Hoche;32;48.8761403983,2.30130313831
15133;Vaugirard - Place Henri Rollet;27;48.8365914815,2.29305569082
11030;Oberkampf - République;24;48.8654533,2.3760261
31708;Noisy le Sec - Jean-Baptiste Clément;22;48.8745153896,2.41528362036
21008;Victor Hugo - Galliéni;34;48.8380201544,2.24608451128
92008;Hôtel de Ville de Nanterre;38;48.8923718983,2.20554895699
18012;Stephenson - Doudeauville;36;48.8885370489,2.35616102815
18141;Clignancourt - Sofia;19;48.8851199231,2.34719488842
12034;Pirogues de Bercy - Libourne;49;48.832308,2.38637
8033;Commandant Rivière;27;48.872933,2.309796
14019;Sarrette - Général Leclerc;22;48.8250308529,2.3264128694
42207;Place des Marseillais;37;48.8266390725,2.40592807531
5116;Place Valhubert;37;48.8441825773,2.36403666437
14018;Porte d'Orléans;48;48.8227639,2.3249313
43006;Vignerons - Minimes;29;48.841486,2.430793
92004;Université;20;48.901365,2.212693
21032;Sèvres-Gallieni;27;48.837809409,2.22815193236
14122;Colonel Monteil - Brune;19;48.8265029331,2.30927479983
17122;Bridaine - Lamandé;29;48.8862074,2.3206239
19040;Belleville - Télégraphe;41;48.8756045,2.3995549
17121;Square des Epinettes;20;48.8938390978,2.32595399022
13046;Eugène Oudiné - Dessous Des Berges;44;48.8256423,2.3750226
14028;Alésia - Suisses;47;48.8316825207,2.3149869226
8038;François 1er - Montaigne;29;48.86688765,2.30667557572
9012;Rougemont - Poissonnière;30;48.8716115694,2.34587308019
15061;Square Desnouettes;22;48.8347683793,2.28414229739
9113;Bleue - Trévise;30;48.8757890656,2.34728962183
2014;Daunou - Louis le Grand;17;48.869113,2.332515
16041;Versailles - Claude Terrasse;46;48.8402193381,2.26383419115
11048;Place Mireille Havet;43;48.850533,2.383756
11037;Faubourg Du Temple - Republique;38;48.8678724847,2.36489821581
14127;Odessa - Départ;39;48.8428855901,2.32442814857
17104;Jardin Marguerite Long;22;48.8816985774,2.28365756571
14016;René Coty - Parc Montsouris;55;48.824791345,2.33612492681
23006;Jules Guesde - Alsace;25;48.8905662755,2.29507774115
20047;Cours de Vincennes - Davout;48;48.84723803,2.41070423362
15060;Place de la Montagne du Goulet;21;48.8443415,2.2773844
22013;Mairie de Neuilly sur Seine;31;48.8849472877,2.26770311594
8008;Joseph Sansboeuf - Saint Lazare;18;48.8753156307,2.32290197164
21708;Marcel Yol - Jullien;30;48.825376118,2.28723501806
15123;Commerce - Letellier;44;48.8479766037,2.29662451966
9101;Cadet - La Fayette;19;48.8756016327,2.34357040375
7017;La Motte-Picquet - La Tour Maubourg;40;48.8572316,2.3094136
4021;Centre Georges Pompidou;26;48.861419,2.352581
21319;Esplanade du Foncet - Camille Desmoulins;28;48.8270902335,2.2606857866
14011;Place des Droits de l'Enfant;24;48.8274804,2.3319217
16012;Flandrin - Longchamp;42;48.8687784918,2.27435453918
8031;Jean Mermoz - Champs-Elysées;33;48.8696898569,2.31073245406
12019;Gare de Reuilly - Picpus;28;48.8426735412,2.39729437977
18140;Porte de Clignancourt - Ney;40;48.899641124,2.34432142228
8110;Gare Saint-Lazare - Stockholm;32;48.8771273167,2.32241716236
3001;Beaumarchais - Saint-Gilles;51;48.8580378,2.3679352
3005;Sainte-Elisabeth - Turbigo;33;48.8661033743,2.35964924097
26006;Bas - Gabriel Péri;30;48.9158558054,2.29480952024
10201;Magenta - Chabrol;24;48.8764953509,2.35609900206
12016;Saint-Mande - Picpus;35;48.8451277283,2.40156862965
48012;Stalingrad - Henri Luisette;26;48.7836309246,2.36693594676
23703;Gare de Chaville Rive Gauche;18;48.8051603043,2.18827720731
13015;Chevaleret - Louise Weiss;35;48.8325865134,2.37121138812
15053;Lecourbe - Convention;46;48.8392331924,2.29151979089
20032;Square des Amandiers;12;48.8661563067,2.38913241774
16033;Marché d'Auteuil;32;48.8484276137,2.26525382116
19014;Lorraine - Jean Jaurès;19;48.8863865,2.3825772
15014;Volontaires - Vaugirard;34;48.8413205018,2.30808901725
6009;Guynemer - Jardin du Luxembourg;36;48.8466127,2.3325478
17041;Guersant - Gouvion-Saint-Cyr;39;48.8828777518,2.28766737081
20143;Ramponeau - Belleville;44;48.8710311376,2.37905685211
17044;Porte de Saint-Ouen - Bessières;42;48.8979224085,2.32851451022
16138;Saint-Cloud - Hippodrome;30;48.8577214889,2.2549109906
8048;Marceau - Chaillot;21;48.8688339499,2.29899678379
17008;Porte Pouchet-Bessières;23;48.8978765,2.3230632
10107;Gare du Nord - Hôpital Lariboisière;49;48.881949,2.352339
11027;Saint-Ambroise - Parmentier;38;48.8621478445,2.3772348091
11002;Roquette - Thiéré;23;48.8550793058,2.37336863187
16039;Exelmans - Versailles;49;48.8409749109,2.26439025253
18028;Championnet - Vauvenargues;33;48.8940187474,2.33198728412
20115;Louis Lumière - Porte de Bagnolet;20;48.86431136,2.41052102298
11105;Parmentier - République;50;48.8644954,2.3750124
22003;Beffroy;26;48.8865910745,2.26139456034
19022;Marché Secrétan;26;48.8812549638,2.37346328795
19018;Cité de la Musique;60;48.8887965565,2.39258119319
23001;Paul Vaillant Couturier - Chaptal;39;48.8934795762,2.27752536535
35019;Anatole France - Jean Lolive;28;48.8949922,2.4253764
8102;Lamennais - Washington;26;48.8735299003,2.30344489217
17027;Place du Maréchal Juin - Péreire;46;48.885263,2.298286
31016;Lucie Aubrac - Franklin;36;48.8622391601,2.44358628988
12001;Bastille - Biscornet;62;48.8513557796,2.36922003329
47006;Les Planètes;16;48.8099849921,2.45808530599
10020;Chabrol - d'Hauteville;11;48.877018388,2.35131796449
18138;Ney - Charles Hermite;20;48.8987480398,2.3645754531
7101;Raspail - Chomel;49;48.8522331643,2.32665807009
1022;Danielle Casanova - Place Vendôme;37;48.8682664982,2.33048390597
14125;Dareau - Broussais;24;48.8307758,2.3361804
20004;Commandant l'Herminier - Gallieni;17;48.8470405526,2.41604536772
17001;Guy Môquet - Saint-Ouen;53;48.892777719,2.32703357935
35011;Honoré d'Estienne d'Ovres - Grilles;18;48.8905639474,2.40648318438
13027;Mazagran - Pierre de Coubertin;15;48.8162186403,2.34422687441
42304;Marc Sangnier - Division Leclerc;24;48.7859965231,2.3299555108
31021;Résistance - Hoche;30;48.8642734237,2.43578441441
42004;Westermeyer - Paul Vaillant-Couturier;25;48.8191161816,2.39666372538
32011;Stade de France;44;48.9191419536,2.36206557602
44007;Camille Groult - Guy Môquet;22;48.7874827465,2.39767257124
6008;Assas - Luxembourg;33;48.8437344688,2.33342838188
35001;Jean Jaurès - Ouvrières Pivéreuses;20;48.9104234375,2.39957660437
10105;Mazagran - Bonne Nouvelle;25;48.8700471237,2.35112484545
31007;Paris - Désiré Préaux;49;48.8574287669,2.43230491877
13032;Italie - Jardin Joan Miro;26;48.8199091405,2.3592948541
41101;Paul Doumer - Stalingrad;24;48.8065189922,2.33688801527
9004;Gérando - Rochechouart;21;48.8829434084,2.34648462385
4020;Place Edmond Michelet;23;48.8601348905,2.3500636965
12018;Saint-Mandé - Fabre d'Eglantine;34;48.8453579,2.3965022
44005;Place Saint-Just;22;48.7903795187,2.38952267915
15036;Croix Nivert - Square Saint-Lambert;47;48.8430515216,2.29520045221
42505;Charles Frérot - Albert Guilpin;30;48.8155839184,2.35050290823
22504;Château - République;20;48.905928,2.253629
9111;Victoire - Laffitte;20;48.8751437349,2.33811850514
1012;Jean-Jacques Rousseau - Deux Ecus;22;48.8629780597,2.34146352857
13038;Choisy - Malmaisons;25;48.821919703,2.36334688341
1024;Coquillière - Louvre;21;48.8637959097,2.34257362783
45004;République - Louis Loucheur;37;48.8235492612,2.51018654555
17020;Jouffroy d'Abbans - Malesherbes;27;48.8850134,2.3070717
21002;Place Denfert-Rochereau;20;48.8432525363,2.24598795176
41103;Place de la vache noire;25;48.8104051706,2.32706040144
21027;Fief - République;25;48.8317088817,2.25577197969
9020;Toudouze - Clauzel;21;48.8792959173,2.33736008406
7001;Invalides - Duroc;29;48.8477924733,2.31619209051
92002;Théâtre des Amandiers - Palais des sports;24;48.8926485268,2.21369415522
9002;Abbeville - Faubourg Poissonnière;14;48.879223,2.349147
19003;Quai de la Seine;24;48.8844922384,2.37039417028
11023;Saint-Maur - Roquette;46;48.8586887741,2.38355399457
31009;Place Du Général De Gaulle;26;48.8687591,2.4329931
17030;Pereire - Rennequin;23;48.8836478289,2.29524470866
12128;Pyramide - Ecole du Breuil;34;48.8223797715,2.45868712664
15104;Hôpital Européen Georges Pompidou;65;48.8376953192,2.27537423372
2111;Chabanais - Petits Champs;30;48.8670374019,2.33671601862
13053;Chevaleret - Tolbiac;21;48.82941,2.375934
31003;Paris - Emile Zola;30;48.8548980958,2.41866856813
13050;Quai Panhard et Levassor;57;48.8283748281,2.38427374581
43005;Gare RER de Vincennes;51;48.8475630151,2.43338316679
32003;Wilson - Métallurgie;28;48.9094230101,2.35844358802
7005;Raspail - Bac;52;48.8556287211,2.32566028833
33018;Edouard Poisson - Victor Hugo;30;48.9111391495,2.37927228212
16034;Porte d'Auteuil;33;48.8479394142,2.26083967835
16140;Longchamp - Suresnes;0;48.8630082862,2.24082814273
12030;Charenton - Wattignies;33;48.8366757964,2.39179585556
13014;Gare d'Austerlitz;14;48.842524,2.364044
42023;Place Léon Gambetta;26;48.8146125024,2.40292936563
15029;Emeriau - Place de Brazzaville;51;48.8507852617,2.28715851903
23011;Bineau - Louise Michel;25;48.8866616221,2.28432744741
16123;Mahatma Gandhi;26;48.876356,2.264205
6016;Danton - Serpente;22;48.8522973626,2.34141323715
11006;Ledru-Rollin - Place du Père Chaillet;37;48.8564337069,2.37902058776
15035;Place Etienne Pernet;43;48.8424345713,2.29218196124
15049;Porte de Versailles;24;48.8321538173,2.2871491313
11043;Place Pasdeloup;21;48.8626542156,2.36703250628
14030;Pernety - Raymond Losserand;32;48.834254628,2.31760933939
10036;Aqueduc - Villette;28;48.8838860639,2.36719880331
19041;Belleville - Pyrénées;42;48.8741908,2.3860039
18137;Poissonniers - Nord;28;48.8925112135,2.35222287476
7026;Place de Finlande;25;48.862408336,2.3113624379
11046;Place de la République - Voltaire;19;48.8668309689,2.36548103392
11044;Square du Bataclan;20;48.8633762,2.3711327
12153;Terroirs de France - Lheureux;55;48.8321202707,2.38861810416
9016;Choron - Martyrs;17;48.8778514435,2.33967013657
22010;Charles de Gaulle - Louis-Philippe;28;48.8816213111,2.27128300904
16024;Ranelagh - Maison de la Radio;22;48.8529360317,2.28044964373
17015;Place de Lévis;48;48.8835468515,2.31319338083
16001;Portugais - Kléber;26;48.8712148,2.2937349
33015;Charles Tillon - Cimetière Communal;31;48.9184402364,2.39356309175
6012;Saint-Germain - Ciseaux;18;48.8533052776,2.33446546188
21501;Pont de Suresnes;52;48.8674150923,2.22589466796
9034;Godot de Mauroy - Madeleine;22;48.869789,2.326347
21707;Square Etienne Jarousse;25;48.824851826,2.29259334505
3102;Bourg l'Abbé - Saint-Martin;42;48.8639333195,2.3524062708
17024;Villiers - Batignolles;23;48.8812525385,2.31653843075
26004;Gare RER les Grésillons;22;48.9198986336,2.31458459136
3008;Perle - Vieille du Temple;36;48.8601346,2.3611206
8117;Place de la Madeleine - Royale;26;48.8692280526,2.32442110777
44014;Camille Risch - Paul Armangot;25;48.774703,2.373685
14103;Maine - Liancourt;27;48.835064364,2.32373144997
10006;Petites Ecuries - Faubourg Saint-Denis;28;48.8728712059,2.35421508551
26005;Hôtel de Ville d'Asnières sur Seine;30;48.9099933003,2.28823810816
9039;Chaussée d'Antin - Haussmann;28;48.87243,2.33359
21954;Val-Fleury;23;48.807671408,2.24072176963
1018;Alger - Rivoli;21;48.8647735535,2.32944939361
16139;Suresnes - Muette à Neuilly;30;48.8685704043,2.26600091904
32020;Jules Guesdes - Carnot;16;48.9382816993,2.35089920461
23303;Gare de Robinson;30;48.7799259212,2.28182863444
15012;Cambronne - Mademoiselle;67;48.84327733,2.30230766886
14027;Gergovie - Alésia;36;48.8308871746,2.31888210121
12102;Bercy - Traversiére;30;48.8461926426,2.37038008869
42205;Place Aristide Briand;35;48.8218923658,2.41300374269
12122;Bois de Vincennes - Polygone;51;48.8354449162,2.43142108144
5031;Lacépède - Linné;54;48.8437035477,2.35465127975
16107;Benjamin Godard - Victor Hugo;35;48.865983,2.275725
15026;Bir Hakeim;33;48.8538440543,2.28970534822
2017;Caire - Dussoubs;40;48.8678534211,2.3493643105
48003;Youri Gagarine - Karl Marx;22;48.7844848508,2.3590843007
92007;Pesaro - Préfecture;22;48.8957704628,2.22390834242
31022;Mairie de Montreuil;52;48.8613145276,2.44061440229
20112;Jourdain - Place des Grandes Rigoles;22;48.8740311373,2.38959476352
35010;Hoche - Jean Lolive;24;48.891102392,2.40284353495
17102;Alfred Roll - Berthier;34;48.8878085705,2.30009529818
11026;Chemin Vert - Saint-Maur;45;48.8611246141,2.38129902631
42010;Mairie d'Ivry-sur-Seine;53;48.8105712097,2.38428264856
21104;Madame de Sanzillon - Mozart;22;48.9037982077,2.31874018908
15201;Place Amédée Gordini - Lefebvre;38;48.8306173775,2.29206342083
8013;Marignan - Champs-Elysées;35;48.8694956612,2.3066138139
15033;Place Violet;30;48.8448789384,2.29057565331
5114;Claude Bernard - Arbalète;17;48.8397667698,2.34751090407
21502;Verdun - Place Henri IV;26;48.8707973756,2.22770031542
11114;Ledru-Rollin - Charonne;32;48.8534585561,2.37724635819
14139;Pierre Larousse - Raymond Losserand;30;48.8305956423,2.31191832572
18113;Lepic - Armée d'Orient;24;48.8875364038,2.3343077302
21706;Jean Bleuzen - Square du 11 Novembre;49;48.8232579,2.2965213
9026;Jean-Baptiste Pigalle - La Bruyere;17;48.8793982645,2.33370917334
16027;Mozart - Jasmin;62;48.8528612487,2.26848357065
18017;Caulaincourt - Place Constantin Pecqueur;44;48.889677905,2.33817871443
2013;Favart - Italiens;17;48.8714463539,2.33829010585
17116;Reims - Porte d'Asnières;26;48.8918344482,2.30014465995
11034;Parmentier - Fontaine au Roi;48;48.8678767055,2.37270597867
5030;Sorbonne - Ecoles;50;48.8496865662,2.34349966049
8029;Place du Canada;40;48.8653462694,2.31019378796
21004;Jean Jaurès - Reine;31;48.8400962256,2.2398725152
12120;Lac Daumesnil - Saint-Maurice;50;48.8277455574,2.41836547852
12010;Daumesnil - Picpus;21;48.8374688,2.401765
4107;Beaumarchais - Pas de la Mule;18;48.855580507,2.36843336734
22103;Senard - Charles Blum;24;48.8573158248,2.22109168768
8101;Londres - Amsterdam;23;48.8780344615,2.32648354097
32021;Place du Front Populaire - George Sand;35;48.906807137,2.36454121499
10110;Louis Blanc - Jemmapes;31;48.8793307553,2.36844856292
10037;Quai de Valmy;26;48.8812695158,2.36818604171
13039;Ivry - Simone Weil;18;48.823283932,2.36590951681
21030;Fessart - Château;20;48.84245,2.23989
32301;Mairie de Romainville;17;48.885109,2.435679
20108;Jardin de l'Hospice Debrousse;23;48.8614510619,2.40568600595
15030;Emeriau - Beaugrenelle;74;48.8479124971,2.28430598974
21401;Mairie de Clamart;33;48.800612,2.262151
18038;Rond-Point de la Chapelle;49;48.8951266093,2.35997110605
33016;Fort d'Aubervilliers;22;48.9150238237,2.4035281688
13009;Auguste Blanqui - Corvisart;26;48.8300989,2.3502726
17106;Berthier - Porte de Clichy;0;48.8943023236,2.31256279563
13025;Place de Rungis;32;48.8224559476,2.34738272948
